Name (or Code);RIC;ISIN;CUSIP/CINS;SEDOL;Type of Equity;Currency;Exchange;Ex-Dividend Date;Country ofIssuer;Debt / Equity;TRBC Sector;Market Capitalisation(USD)
Brasil Pharma SA;BPHA3.SA;BRBPHAACNOR6;P1815Q108;B3Q1YB6;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2012;Brazil;3,79;Retail - Drugs without Grocery;181.695.597
Ferrovia Centro Atlantica SA;VSPT3.SA;BRVSPTACNOR1;P9806S108;2939801;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;0,16;Railway Freight Operators;176.159.767
Springs Global Participacoes SA;SGPS3.SA;BRSGPSACNOR4;P8739A101;B23F629;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;03-May-2010;Brazil;1,57;Textiles & Leather Goods (NEC);168.024.277
Grazziotin SA;CGRA4.SA;BRCGRAACNPR9;P4916J114;B010TY5;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;26-Dec-2016;Brazil;0,40;General Department Stores;163.557.528
Paranapanema SA;PMAM3.SA;BRPMAMACNOR3;P7579L102;B092PF6;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2016;Brazil;12,79;Copper Ore Mining;159.053.195
Sao Paulo Turismo SA;AHEB3.SA;BRAHEBACNOR0;P0355U107;2044255;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;3,94;Theatres & Performing Arts;150.320.670
Companhia de Participacoes Alianca da Bahia;PEAB4.SA;BRPEABACNPR0;P3055D102;2635347;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;0,26;Industrial Conglomerates;139.565.389
Celulose Irani SA;RANI3.SA;BRRANIACNOR5;P22051109;B0765M7;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;09-Mar-2017;Brazil;2,77;Paper Mills & Products;136.827.715
T4F Entretenimento SA;SHOW3.SA;BRSHOWACNOR7;P9T44H103;B5N8KL6;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;27-Apr-2017;Brazil;0,88;Theatres & Performing Arts;134.764.145
Cristal Pigmentos do Brasil SA;CRPG5.SA;BRCRPGACNPA3;P3R81G120;BYNQSR5;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;01-Jun-2017;Brazil;0,53;Coloring Agents;131.679.019
Dohler SA;DOHL3.SA;BRDOHLACNOR2;P3575C105;2272313;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;18-Dec-2015;Brazil;0,26;Textiles & Leather Goods (NEC);123.102.452
Technos SA;TECN3.SA;BRTECNACNOR6;P90188106;B3ZQXN7;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;23-Dec-2016;Brazil;0,60;Apparel & Accessories (NEC);105.076.198
Industrias Romi SA;ROMI3.SA;BRROMIACNOR8;P5603Z105;B07C730;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;23-Mar-2016;Brazil;0,80;Machine Tools;104.411.360
Terra Santa Agro SA;TESA3.SA;BRTESAACNOR9;P3773U139;BD0NBG2;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;1,15;Fishing & Farming (NEC);103.576.277
Eucatex SA Industria e Comercio;EUCA4.SA;BREUCAACNPR8;P5371Z105;2317797;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;26-Apr-2017;Brazil;0,68;Grain (Crop) Production;96.982.739
Cremer SA;CREM3.SA;BRCREMACNOR2;P3284T100;2232867;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;09-May-2017;Brazil;3,17;Industrial Machinery;94.373.576
Josapar Joaquim Oliveira SA Particip;JOPA4.SA;BRJOPAACNPR2;P6031C106;2474744;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;28-Apr-2017;Brazil;2,29;Ready-Made Meals;79.293.087
Metalfrio Solutions SA;FRIO3.SA;BRFRIOACNOR2;P6636G106;B1VSJ13;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;29-Jun-2011;Brazil;11,73;"Heating, Ventilation & Air Conditioning
System...";73.565.378
