run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,GdpDev.UnempRate,Inflation.UnempRate
179,-1860432424,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,1.5,0.06,0.23
163,-1860428748,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,1.5,0.04,0.22
216,-1860425340,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,2,0.03,-0.35
218,-1860424598,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.07,1,0.08,0.12
219,-1860422742,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.07,1.5,0.05,0.22
220,-1860422400,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.07,2,0.05,0.28
222,-1860414218,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.1,1,0.05,-0.41
185,-1860416168,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,0.5,0.06,0.14
224,-1860411199,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.1,2,0.06,0.24
169,-1860413170,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,0.5,0.04,-0.32
225,-1860409485,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,0.5,0.17,-0.09
226,-1860408356,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,1,0.05,0.23
228,-1860400718,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,2,0.04,-0.4
230,-1860398937,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.04,1,0.08,0.1
231,-1860394462,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.04,1.5,0.05,-0.22
232,-1860395427,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.04,2,0.08,0.1
191,-1860398332,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,1.5,0.04,0.3
175,-1860396331,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,1.5,0.06,0.28
234,-1860385049,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.07,1,0.04,0.06
236,-1860385448,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.07,2,0.05,-0.36
237,-1860382313,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.1,0.5,0.04,0.06
238,-1860380774,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.1,1,0.05,0.28
197,-1860379765,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,0.5,0.07,-0.42
181,-1860378779,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,0.5,0.04,0.17
240,-1860371656,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.1,2,0.06,-0.33
242,-1860371539,0.1,0.1,0.5,0.1,6,0.1,1,1,0.01,1,0.07,0.04
243,-1860370454,0.1,0.1,0.5,0.1,6,0.1,1,1,0.01,1.5,0.04,0.23
244,-1860369424,0.1,0.1,0.5,0.1,6,0.1,1,1,0.01,2,0.03,-0.38
203,-1860364910,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,1.5,0.06,0.33
187,-1860362206,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,1.5,0.06,-0.1
246,-1860357738,0.1,0.1,0.5,0.1,6,0.1,1,1,0.04,1,0.05,0.27
248,-1860359478,0.1,0.1,0.5,0.1,6,0.1,1,1,0.04,2,0.05,0.29
249,-1860357705,0.1,0.1,0.5,0.1,6,0.1,1,1,0.07,0.5,0.06,0.14
250,-1860356705,0.1,0.1,0.5,0.1,6,0.1,1,1,0.07,1,0.08,0.24
209,-1860349312,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.01,0.5,0.15,-0.32
252,-1860343701,0.1,0.1,0.5,0.1,6,0.1,1,1,0.07,2,0.06,-0.4
193,-1860345247,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,0.5,0.11,-0.38
254,-1860345199,0.1,0.1,0.5,0.1,6,0.1,1,1,0.1,1,0.03,0.08
255,-1860344087,0.1,0.1,0.5,0.1,6,0.1,1,1,0.1,1.5,0.04,-0.3
256,-1860343206,0.1,0.1,0.5,0.1,6,0.1,1,1,0.1,2,0.06,-0.38
215,-1860333799,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,1.5,0.04,-0.41
258,-1860329247,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.01,1,0.03,0.28
260,-1860332811,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.01,2,0.05,-0.05
199,-1860326929,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,1.5,0.06,-0.33
261,-1860331458,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.04,0.5,0.03,0.05
262,-1860329676,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.04,1,0.03,-0.41
221,-1860320316,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.1,0.5,0.03,-0.37
264,-1860316855,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.04,2,0.04,0.27
266,-1860318618,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.07,1,0.04,0.46
267,-1860318792,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.07,1.5,0.05,0.3
268,-1860315722,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.07,2,0.05,-0.47
205,-1860309781,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,0.5,0.04,-0.26
227,-1860304659,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,1.5,0.08,-0.34
270,-1860302176,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.1,1,0.06,0.28
272,-1860307359,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.1,2,0.05,0.18
273,-1860305327,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.01,0.5,0.03,-0.35
