run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,VacanRatio.UnempRate
164,-1860543147,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,2,-0.79
166,-1860541339,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,1,-0.7
165,-1860540168,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,0.5,-0.97
168,-1860534407,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,2,-0.63
127,-1860534608,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,1.5,-0.38
170,-1860529831,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,1,-0.59
172,-1860527522,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,2,-0.65
171,-1860525582,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,1.5,-0.65
143,-1860530101,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,1.5,-0.97
174,-1860519276,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,1,-0.76
176,-1860514886,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,2,-0.83
133,-1860518953,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,0.5,-0.98
178,-1860513273,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,1,-0.72
177,-1860512404,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,0.5,-0.64
180,-1860505265,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,2,-0.85
149,-1860510458,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,0.5,-0.78
182,-1860501910,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,1,-0.66
183,-1860498311,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,1.5,-0.66
184,-1860498976,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,2,-0.99
186,-1860494530,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,1,-0.98
139,-1860500579,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,1.5,-0.38
155,-1860493488,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,1.5,-0.61
188,-1860490582,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,2,-0.54
190,-1860485533,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,1,-0.19
189,-1860485887,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,0.5,-0.35
192,-1860481406,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,2,-0.56
145,-1860481241,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,0.5,-0.94
194,-1860477732,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,1,-0.88
161,-1860478552,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,0.5,-0.89
196,-1860475113,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,2,-0.85
195,-1860473306,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,1.5,-0.87
198,-1860467792,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,1,-0.71
200,-1860463781,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,2,-0.78
202,-1860461275,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,1,-0.84
201,-1860460585,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,0.5,-0.97
151,-1860464223,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,1.5,-0.63
167,-1860463085,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,1.5,-0.97
204,-1860452850,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,2,-0.86
206,-1860450585,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,1,-0.57
207,-1860448390,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,1.5,-0.95
208,-1860448681,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,2,-0.69
173,-1860446609,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,0.5,-0.29
157,-1860446915,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,0.5,-0.79
210,-1860438907,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.01,1,-0.86
212,-1860437644,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.01,2,-0.67
213,-1860435022,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,0.5,-0.9
214,-1860434578,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,1,-0.71
179,-1860432424,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,1.5,-0.67
163,-1860428748,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,1.5,-0.59
216,-1860425340,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,2,-0.87
218,-1860424598,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.07,1,-0.53
219,-1860422742,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.07,1.5,-0.55
220,-1860422400,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.07,2,-0.7
222,-1860414218,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.1,1,-0.9
185,-1860416168,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,0.5,-0.7
224,-1860411199,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.1,2,-0.68
169,-1860413170,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,0.5,-0.8
225,-1860409485,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,0.5,-0.87
226,-1860408356,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,1,-0.75
228,-1860400718,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,2,-0.91
230,-1860398937,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.04,1,-0.67
231,-1860394462,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.04,1.5,-0.59
232,-1860395427,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.04,2,-0.81
191,-1860398332,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,1.5,-0.59
175,-1860396331,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,1.5,-0.67
234,-1860385049,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.07,1,-0.6
236,-1860385448,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.07,2,-0.94
237,-1860382313,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.1,0.5,-0.21
238,-1860380774,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.1,1,-0.7
197,-1860379765,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,0.5,-0.96
181,-1860378779,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,0.5,-0.55
240,-1860371656,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.1,2,-0.91
242,-1860371539,0.1,0.1,0.5,0.1,6,0.1,1,1,0.01,1,-0.88
243,-1860370454,0.1,0.1,0.5,0.1,6,0.1,1,1,0.01,1.5,-0.66
244,-1860369424,0.1,0.1,0.5,0.1,6,0.1,1,1,0.01,2,-0.8
